Suncorp,Floor,Content,Excess
212.66,0,20000,200
204.19,0,20000,400
197.05,0,20000,600
194.34,0,20000,750
190.84,0,20000,1000
178.55,0,20000,2000
164.44,1,20000,200
155.67,1,20000,400
148.32,1,20000,600
145.57,1,20000,750
142.08,1,20000,1000
129.83,1,20000,2000
155.71,2,20000,200
146.96,2,20000,400
139.63,2,20000,600
136.9,2,20000,750
133.43,2,20000,1000
121.26,2,20000,2000
231.09,0,22500,200
222.24,0,22500,400
214.82,0,22500,600
211.98,0,22500,750
208.32,0,22500,1000
195.4,0,22500,2000
176.1,1,22500,200
166.98,1,22500,400
159.35,1,22500,600
156.48,1,22500,750
152.81,1,22500,1000
140.01,1,22500,2000
166.29,2,22500,200
157.18,2,22500,400
149.57,2,22500,600
146.72,2,22500,750
143.09,2,22500,1000
130.38,2,22500,2000
248.62,0,25000,200
239.46,0,25000,400
231.79,0,25000,600
228.83,0,25000,750
225.02,0,25000,1000
211.55,0,25000,2000
186.84,1,25000,200
177.4,1,25000,400
169.51,1,25000,600
166.53,1,25000,750
162.73,1,25000,1000
149.45,1,25000,2000
175.92,2,25000,200
166.51,2,25000,400
158.64,2,25000,600
155.69,2,25000,750
151.92,2,25000,1000
138.75,2,25000,2000
265.12,0,27500,200
255.71,0,27500,400
247.82,0,27500,600
244.76,0,27500,750
240.81,0,27500,1000
226.92,0,27500,2000
196.49,1,27500,200
186.8,1,27500,400
178.71,1,27500,600
175.64,1,27500,750
171.72,1,27500,1000
158.06,1,27500,2000
184.48,2,27500,200
174.82,2,27500,400
166.75,2,27500,600
163.7,2,27500,750
159.83,2,27500,1000
146.29,2,27500,2000
281.34,0,30000,200
271.69,0,30000,400
263.58,0,30000,600
260.44,0,30000,750
256.38,0,30000,1000
242.07,0,30000,2000
205.84,1,30000,200
195.91,1,30000,400
187.63,1,30000,600
184.48,1,30000,750
180.46,1,30000,1000
166.44,1,30000,2000
192.74,2,30000,200
182.84,2,30000,400
174.58,2,30000,600
171.46,2,30000,750
167.48,2,30000,1000
153.59,2,30000,2000
328.6,0,37500,200
318.31,0,37500,400
309.64,0,37500,600
306.24,0,37500,750
301.84,0,37500,1000
286.36,0,37500,2000
232.43,1,37500,200
221.88,1,37500,400
213.05,1,37500,600
209.67,1,37500,750
205.37,1,37500,1000
190.37,1,37500,2000
216.06,2,37500,200
205.55,2,37500,400
196.75,2,37500,600
193.39,2,37500,750
189.15,2,37500,1000
174.32,2,37500,2000
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
